business_id,name,address,city,state,postal_code,stars,review_count
gnKjwL_1w79qoiV3IC_xQQ,Musashi Japanese Restaurant,"10110 Johnston Rd, Ste 15",charlotte,NC,28210.0,4.0,170
1Dfx3zM-rW4n-31KeC8sJg,Taco Bell,2450 E Indian School Rd,phoenix,AZ,85016.0,3.0,18
fweCYi8FmbJXHCqLnwuk8w,Marco's Pizza,5981 Andrews Rd,mentor on the lake,OH,44060.0,4.0,16
1RHY4K3BD22FK7Cfftn8Mg,Marathon Diner,"Center Core - Food Court, Fl 3, Pittsburgh International Airport",pittsburgh,PA,15231.0,4.0,35
tstimHoMcYbkSC4eBA1wEg,Maria's Mexican Restaurant & Bakery,6055 E Lake Mead Blvd,las vegas,NV,89156.0,4.5,184
dQj5DLZjeDK3KFysh1SYOQ,Apteka,4606 Penn Ave,pittsburgh,PA,15224.0,4.5,242
v-scZMU6jhnmV955RSzGJw,No. 1 Sushi Sushi,436 Market St,pittsburgh,PA,15222.0,4.5,106
KFbUQ-RR2UOV62Ep7WnXHw,Westwood Bar & Grill,825 Commonwealth Ave,west mifflin,PA,15122.0,3.0,5
44YFU284Z3KDEy25QyVoUw,Nee House Chinese Restaurant,"13843 N Tatum Blvd, Ste 15",phoenix,AZ,85032.0,3.5,269
X8mtoSxY8whtmbDlj0D3Aw,Imperial Asian Buffet,4343 N Rancho Dr,las vegas,NV,89030.0,2.0,4
7aLkFEBnL1LJmQdcuaovuQ,Ohio Beer Garden,402 Great Northern Blvd,north olmsted,OH,44070.0,4.0,8
0lFAD4CuWcQVl9u3-lRaCQ,Cruisers Bar and Grill,6625 Dean Memorial Pkwy,hudson,OH,44236.0,3.5,12
ysfeDcLAYk_MVzfBmyiSTg,Vals Getaway DES Cafeteria,1789 W Jefferson,phoenix,AZ,85007.0,3.0,14
L0aSDVHNXCl6sY4cfZQ-5Q,Mai Thai II,"7712 Sossamon Ln NW, Unit 140",concord,NC,28027.0,4.0,108
jScBTQtdAt-8RshaiBEHgw,Served,"1770 W Horizon Ridge, Ste 100",henderson,NV,89012.0,4.5,664
U3kygJOTlTQFlfaZS7sQjA,JJ's Red Hots - Dilworth,1514 East Blvd,charlotte,NC,28203.0,4.0,380
nsNONDHbV7Vudqh21uicqw,Salt Cellar,550 N Hayden Rd,scottsdale,AZ,85257.0,3.5,526
6fPQJq4f_yiq1NHn0fd11Q,La Creperie,3655 Las Vegas Blvd S,las vegas,NV,89109.0,3.5,535
k-dDZvTeLysoJvjHI-qr9g,Feast Buffet,2411 W Sahara Ave,las vegas,NV,89102.0,3.0,287
5WMIvoMx3l1vn1uJ3HZB6Q,Subway,411 7th Ave,pittsburgh,PA,15219.0,3.0,3
Rs8Wi4OEjeOX7LVlzsXDOA,Sushi Mocorito,"3415 West Glendale Ave, Bldg 25A",phoenix,AZ,85051.0,3.0,9
MhnihE0alud0ereVInSt8Q,Yummy Yummy Chinese Restaurant,"2765 N Scottsdale Rd, Ste 105",scottsdale,AZ,85257.0,3.0,188
4n81G-pmC3rfhmaPsbwYKg,"Vince Neil's Tatuado | Eat, Drink, Party",360 E Tropicana Ave,las vegas,NV,89169.0,4.5,3
y-1sMhUMubrHWdIW4FaE8w,Wendy's,2421 S Stoughton Rd,madison,WI,53716.0,2.5,7
iwGhazq9eP51PSerTrMrwg,Mr G's Pub & Grub,"3342 E Sandhill Rd, Ste 11",las vegas,NV,89121.0,4.0,27
CPgz4srKkE5u9aoBAOaQsA,Davidson Pizza Company,300 Mock Rd,davidson,NC,28036.0,3.5,23
OwXMxqxIy4YoprAjnoUoiA,B & M Bar-B-Que Shaw,12700 Shaw Ave,cleveland,OH,44108.0,3.5,4
0G83H_zoum-Q4bWU2olTqQ,Bonjour Bakery & Deli,"4012 S Rainbow Blvd, Ste J",las vegas,NV,89103.0,4.5,39
U3-kxz7NWq4ix4bPmKKQ0w,Aladdin's Eatery,8870 Mentor Ave,mentor,OH,44060.0,4.5,47
dUffgo9Lh_Vk9TLuFR5ywg,Oregano's Pizza Bistro,1008 E Camelback Rd,phoenix,AZ,85014.0,3.5,563
c7JoAt6a3Ufkpn3TrGU23A,Santanas Mexican Food,1930 W Buckeye Rd,phoenix,AZ,85009.0,3.0,6
q4P3WHwC0lFafwvTlkKMIw,Ron's Pizza Palace,1535 Lowrie St,pittsburgh,PA,15212.0,3.0,6
hZj2HCiLae5-AxIp0im6lQ,Route 28 Bar & Grille,180 Gamma Dr,pittsburgh,PA,15238.0,2.5,7
vg4ynLZ0yJ89pT4s_CEMzQ,Five Guys,2340 E Baseline Rd,phoenix,AZ,85042.0,3.5,23
e-9f6vasnWh3z0uOq287Aw,Pizza Hut,"2835 N 16th St, Ste 103",phoenix,AZ,85006.0,2.0,14
ItmLljzhwhuyyvekNs4Ymg,Jersey Mike's Subs,1601 Deming Way,middleton,WI,53562.0,4.0,20
jX9DocoiY4Bo9EUkaTSqvg,China AAA,10624 S Eastern Ave,henderson,NV,89052.0,4.5,149
ecJri9ozyke4dOCWulZiRQ,Nishikawa Ramen,1909 E Ray Rd,chandler,AZ,85225.0,4.0,427
iA9xu-6oOFynZQxO5qrauQ,DOC Holliday's Saloon,2551 Anthem Village Dr,henderson,NV,89052.0,3.0,3
mofOjB6flg-eAWOFbOkHfQ,ChinaTown Buffet,713 W Marketview Dr,champaign,IL,61822.0,2.5,72
El6Bum4I-0VWJRgzbtscJQ,Jimmy John's,12061 Perry Hwy,wexford,PA,15090.0,3.0,11
F6c3D1o9Z4Tl6cDorb3WgA,Hello Bistro,701 Providence Blvd,pittsburgh,PA,15237.0,3.5,75
JO5_Frcbp9J732VNn-I3Ew,Steak ’n Shake,3316 Center Rd,brunswick,OH,44212.0,2.0,44
Ye6Bdtw2lq5Y6FeX-p377Q,Veltree,"7945 N Tryon St, Unit 110",charlotte,NC,28262.0,4.5,7
_WyTVGIhZIqesE4DLrcTvA,Ron's Restaurant,3621 Old Charlotte Hwy,monroe,NC,28110.0,4.0,11
UdL8Z06DaNj6qhen0fEH9A,Mariscos El Dorado Sin,5630 S Central Ave,phoenix,AZ,85040.0,2.0,7
6XImdD5qH_LFZhHeLjLaGQ,Arbys Restaurant Higley Rd,1927 N Higley Rd,mesa,AZ,85205.0,3.0,8
m4DwPVxmFDQE_FnGIOa3cQ,Sunny China Buffet,1703 Philo Rd,urbana,IL,61802.0,3.5,15
UPh90LM8UMnVFQP6NGktrA,Cakes On the Move,1211 Santa Helena Ave,henderson,NV,89002.0,5.0,57
hXzoNgpkC86K_Jfg_zMHvA,PHO KC,"18555 N 59th Ave, Ste 130",glendale,AZ,85308.0,4.5,96
dtpFxDbBTBl90NyttDqoMg,2 Girls' Cafe & Bakery,3707 Darrow Rd,stow,OH,44224.0,4.0,16
GiTv0gFXtYFQAzCXnPvepQ,Chili's,5521 Westpark Dr,charlotte,NC,28217.0,2.5,48
tylsscXmLq03-DzGI36bIA,Squaw Peak Cafe,2333 E Thomas Rd,phoenix,AZ,85016.0,3.5,8
HqerocZHKSRFD8NTrIkbaw,Taxco Mexican Grill,7106 Brighton Park Dr,mint hill,NC,28227.0,3.0,52
3-aEgS7X2jrbxA7sA1nARw,La Flor De Calabaza,"705 N 1st St, Ste 110",phoenix,AZ,85004.0,3.0,90
k2b3niokS_tosjah_rzCPw,Metro Pizza,6720 Sky Pointe Dr,las vegas,NV,89131.0,3.5,303
lK-wuiq8b1TuU7bfbQZgsg,Hingetown,,cleveland,OH,44113.0,3.0,4
QcUKFdAWxFq42-zE96cS-A,Pita Pit,"3816 Sardis Church Rd, Ste 101",indian trail,NC,28079.0,4.0,34
QS3QxI7u5PRdtbGgI0-UsA,Sakana Sushi & Grill,"6989 N Hayden Rd, Ste A12",scottsdale,AZ,85250.0,4.0,347
ZBE-H_aUlicix_9vUGQPIQ,Hickory Tavern,9010 Harris Corners Pkwy,charlotte,NC,28269.0,3.0,100
AMN3Sgns9tB2x-b3eWk0qQ,Noodles Ranch,"2765 N Scottsdale Rd, Ste 107",scottsdale,AZ,85257.0,4.0,457
yGMCl0vYigshkXiZFIDTNw,Mimi's Cafe,7450 W Bell Rd,glendale,AZ,85308.0,3.0,184
yuhnMOLGmXHhQxyp1V_rBw,Genghis Grill,9727 E Independence Blvd,matthews,NC,28105.0,3.5,84
rwscnQMpddjkVNaJQhNuHw,Birrieria Obregon,2500 N 35th Ave,phoenix,AZ,85009.0,4.0,24
p8u03IURLPg_5jYSY3OmMQ,Farmer Boy,610 E Cuyahoga Falls Ave,akron,OH,44310.0,3.0,34
dusNIzdCaH6EoLl2hRy6cQ,Chipotle Mexican Grill,3475 Las Vegas Blvd S,las vegas,NV,89109.0,3.5,115
uNtO37bzsKCHaRUpLm4Qzw,Subway,15508 W Bell Rd,surprise,AZ,85374.0,3.0,4
iW0_acsRQtjlpE_8O6l1_Q,The Roman Candle Pizzeria,2685 Research Park Dr,fitchburg,WI,53711.0,3.0,56
221yaXPE1zmJqDvBVM__tw,Baskin-Robbins,"15530 W Roosevelt St, Ste E105",goodyear,AZ,85338.0,2.5,26
3KzzG6dw5aN9eIo3cGHaSA,Steak ’n Shake,5051 Som Center Rd,willoughby,OH,44094.0,2.5,43
pvKp4m3eFeHv15kYZaq1Bw,Papa John's,113 Cavasina Dr,canonsburg,PA,15317.0,1.5,10
RGK23CEkDfYHWtUbRhA-bQ,The Turnhouse Grille,"1600 E Woodlawn Rd, Ste 100",charlotte,NC,28209.0,4.5,102
-bd4BQcl1ekgo7avaFngIw,Eggstasy,6990 E Shea Blvd,scottsdale,AZ,85254.0,3.5,646
Ya-HZZrzMWYSBtGyLajDQg,Nathan's Famous,1038 State Rt 11,champlain,NY,12919.0,4.0,4
