"","X.1","X","author_name","author_url","language","place_id","profile_photo_url","rating","relative_time_description","text","time","cleaned_text","text_tag","nooffoodtags","tag_american","tag_mediterranean","tag_caribbean","tag_vegan","tag_fast.food","tag_breweries","tag_sum","tag_bars","tag_french","tag_soup","tag_bagels","tag_vietnamese","tag_italian","tag_steakhouses","tag_burgers","tag_hawaiian","tag_chicken.wings","tag_middle.eastern","tag_comfort.food","tag_food.trucks","tag_salad","tag_southern","tag_karaoke","tag_sandwiches","tag_soul.food","tag_greek","tag_cheesesteaks","tag_poke","tag_vegetarian","tag_gluten.free","tag_desserts","tag_breakfast.brunch","tag_diners","tag_mexican","tag_tex.mex","tag_delis","tag_hot.dogs","tag_chinese","tag_barbeque","tag_buffets","tag_thai","tag_noodles","tag_wraps","tag_asian.fusion","tag_cafes","tag_donuts","tag_pizza","tag_japanese","tag_indian","tag_korean","tag_local.flavor","tag_seafood","Latitude","Longitude","state","city","zipCode","address","name"
"1",1,1,"stephen o'ryan","https://www.google.com/maps/contrib/114303200885311948725/reviews","en","ChIJ41J07AKdMIgR7qeRTjC3oGI","https://lh4.googleusercontent.com/-lvtilWu9NbM/AAAAAAAAAAI/AAAAAAAACBU/tvizSvmfGh8/s128-c0x00000000-cc-rp-mo-ba2/photo.jpg",4,"a month ago","pretty good food, great burgers, and always music playing loudly for those who enjoy a loud environment. it's pretty simplistic in comparison to most bars, better co sidered a tavern, than a bar. you will have fun there, with various games available, and for keno players, keno is there! with a game always on tv, you won't be disappointed if you're looking for a simple, but fun, experience in downtown lorain.",1551493659,"pretti good food great burger alway music play loud enjoy loud environ pretti simplist comparison bar better co sider tavern bar fun various game avail keno player keno game alway tv disappoint look simpl fun experi downtown lorain"," burgers bars",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4629508,-82.1731035,"OH","lorain","44052","900 Broadway Ave","scorcher's casual eatery & draft house"
"2",2,2,"christine kozloski","https://www.google.com/maps/contrib/113813921446551935748/reviews","en","ChIJN9j6ZLmdMIgRuIjJAzbrc5M","https://lh6.googleusercontent.com/-LZ5VYAPHYSk/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcjoG5ysAJynrXt6J9TnVISIIoQ4A/s128-c0x00000000-cc-rp-mo-ba2/photo.jpg",1,"a month ago","i ordered two pizzas from yala's pizza today. my family has been going to this establishment since the late 1950's when it opened. i was really excited to get pizza from here because i had not eaten here in about five years. i ordered a small thin crust pizza with pepperoni and two half toppings, and a large. i called the shop and made sure to repeat the order to them three different times. the female on the other end repeated the order and it was what i told her. i arrive to the shop and had to wait about 15 minutes on top of the 35 minutes they had told me. my pizzas were finally almost finished. an older man came to the counter and said my order back to me. it was incorrect. they had made the small pizza without any pepperoni. i informed him and he said they didn't write it correctly. he then told me he would fix the problem. he came back to the counter and told me they were heating up the pepperoni to put on the already cooked pizza. okay, no big deal. the huge problem came after he walked away from the counter. a loud female employee felt the right thing to do was to stand in the back and threaten to come out to the counter and tell me i was not telling the truth, and how she knows i'm wrong and she would basically take care of me in her own way. at this point i'm very upset. i just paid $26 for two pizzas, with a side of verbal abuse,  because of i'm guessing a mistake made by her. i confronted the man and his response was oh i took care of it... as she ignorantly continued to yell from the back. great job sir. needless to say one of the very families whom helped this establishment grow will never return.",1549844878,"order two pizza yala pizza today famili go establish sinc late open realli excit get pizza becaus eaten five year order small thin crust pizza pepperoni two half top larg call shop made sure repeat order three differ time femal end repeat order told arriv shop wait minut top minut told pizza final almost finish older man came counter said order back incorrect made small pizza without ani pepperoni inform said write correct told would fix problem came back counter told heat pepperoni put alreadi cook pizza okay big deal huge problem came walk away counter loud femal employe felt right thing stand back threaten come counter tell tell truth know wrong would basic take care way point veri upset paid two pizza side verbal abus becaus guess mistak made confront man respons oh took care ignor continu yell back great job sir needless say one veri famili help establish grow never return"," pizza",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41.4400933,-82.1856006,"OH","lorain","44053","3352 Oberlin Ave","yala's pizzeria"
"3",3,3,"trisel blau","https://www.google.com/maps/contrib/108796024066631550887/reviews","en","ChIJN9j6ZLmdMIgRuIjJAzbrc5M","https://lh6.googleusercontent.com/-pfRF1WNgy0Y/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rewe-Hx8fOZacpQ37gQuM2l72z4bw/s128-c0x00000000-cc-rp-mo/photo.jpg",5,"3 months ago","i have eaten their elisios style pizza in years but was able to enjoy while visiting for new years.  it was as great as i remembered.  my son tried it for the first time and gabe it 2 thumbs up.",1546529281,"eaten elisio style pizza year abl enjoy visit new year great rememb son tri first time gabe thumb"," pizza",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41.4400933,-82.1856006,"OH","lorain","44053","3352 Oberlin Ave","yala's pizzeria"
"4",4,4,"brad koller","https://www.google.com/maps/contrib/102420271318441737477/reviews","en","ChIJN9j6ZLmdMIgRuIjJAzbrc5M","https://lh3.googleusercontent.com/-zSEioYx8BAU/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcawNqxvH-U2cGnfNMSnPFqPY4T6Q/s128-c0x00000000-cc-rp-mo/photo.jpg",5,"a month ago","every time i go back to lorain, this is a must stop.   still the best pizza i have ever eaten",1550697024,"everi time go back lorain must stop still best pizza ever eaten"," pizza",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41.4400933,-82.1856006,"OH","lorain","44053","3352 Oberlin Ave","yala's pizzeria"
"5",5,5,"andrew bass","https://www.google.com/maps/contrib/115124774781308965497/reviews","en","ChIJkSZgkeVuK4cRVKRTf2Db2OI","https://lh3.googleusercontent.com/-NNu0CGRmzRw/AAAAAAAAAAI/AAAAAAAAAWY/IxeA64S5Uh4/s128-c0x00000000-cc-rp-mo-ba4/photo.jpg",5,"in the last week","absolutely the best donuts around.  they do them right, fresh and absolutely delicious without fancying them up the messy way others try to be number one.  the price is worth the freshness and the taste.  you will find a great staff of the most courteous people to wait on you.  get a donut or a dozen and grab a cup of coffee or tea while you're at it.",1554066467,"absolut best donut around right fresh absolut delici without fanci messi way tri number one price worth fresh tast find great staff courteous peopl wait get donut dozen grab cup coffe tea"," donuts",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.640447,-112.111164,"AZ","phoenix","85023","2340 W Bell Rd","lamar's donuts and coffee"
"6",6,6,"alexis barkl","https://www.google.com/maps/contrib/100580486767424649561/reviews","en","ChIJkSZgkeVuK4cRVKRTf2Db2OI","https://lh3.googleusercontent.com/-SeeLfjVD3WE/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3repsJCMJcgMMgFf6lYh7dznoxB9fA/s128-c0x00000000-cc-rp-mo/photo.jpg",1,"2 weeks ago","the hours of business the company has confirmed with google are not correct. i looked this place up today to get donuts for my employees and it was reported as currently open for business.  i arrived to find they were in fact not open and had a sign posted on their door. it either stated temporarily or completely out of business, i did not walk up to read it. this company should have reported this and updated their hours of business so people dont waste their time driving there.",1553196126,"hour busi compani confirm googl correct look place today get donut employe report current open busi arriv find fact open sign post door either state temporarili complet busi walk read compani report updat hour busi peopl dont wast time drive"," donuts",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.640447,-112.111164,"AZ","phoenix","85023","2340 W Bell Rd","lamar's donuts and coffee"
"7",7,7,"patrick gray","https://www.google.com/maps/contrib/106760189571743199205/reviews","en","ChIJkSZgkeVuK4cRVKRTf2Db2OI","https://lh3.googleusercontent.com/-LLOaRsZTO8U/AAAAAAAAAAI/AAAAAAABFgw/aTqtVh99IMA/s128-c0x00000000-cc-rp-mo-ba3/photo.jpg",2,"a month ago","the donuts here are good. the service here is not so good. getting a coffee and a donut takes way to long. i am tired of hearing ""sorry its so busy"". it is a donut shop in the morning, of course its going to be busy. the employees are nice but the energy here is very solemn, i think i leave there more bummed out then when i walked in. the gentleman whom i believe is the owner has the ability to stand behind the counter and look always thumbing through paperwork for door dash orders or who knows what. do your paperwork in your office because its frustrating that it appears that you are unable to see the awkward line of people. we can see you ! you can see us ! help get us out of here ! many of the people i see here daily really need to get to work, other folks do not appear to have time constraints. my advice as a consumer and someone who also runs a business - learn your customer base, train your people, staff appropriately. we choose to spend our money on lamar's donuts which are expensive (but good) but we have many other choices. i think i am done with this establishment after this morning",1550161779,"donut good servic good get coffe donut take way long tire hear sorri busi donut shop morn cours go busi employe nice energi veri solemn think leav bum walk gentleman believ owner abil stand behind counter look alway thumb paperwork door dash order know paperwork offic becaus frustrat appear unabl see awkward line peopl see see us help get us mani peopl see daili realli need get work folk appear time constraint advic consum someon also run busi learn custom base train peopl staff appropri choos spend money lamar donut expens good mani choic think done establish morn"," donuts sum",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.640447,-112.111164,"AZ","scottsdale","85023","2340 W Bell Rd","lamar's donuts and coffee"
"8",8,8,"kirk nielsen","https://www.google.com/maps/contrib/107200430198722781133/reviews","en","ChIJkSZgkeVuK4cRVKRTf2Db2OI","https://lh4.googleusercontent.com/-2eRqYFID0eE/AAAAAAAAAAI/AAAAAAAAAAA/73BdRLzavtw/s128-c0x00000000-cc-rp-mo-ba4/photo.jpg",5,"a month ago","these are the best glazed donuts i have ever had.  we had several other types also.  to make sure you get what you want order the day before!   wonderful staff!  love this place.",1550943803,"best glaze donut ever sever type also make sure get want order day befor wonder staff love place"," donuts",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.640447,-112.111164,"AZ","phoenix","85023","2340 W Bell Rd","lamar's donuts and coffee"
"9",9,9,"jim hoyt","https://www.google.com/maps/contrib/110699735780586647862/reviews","en","ChIJkSZgkeVuK4cRVKRTf2Db2OI","https://lh6.googleusercontent.com/-4a6nAf1L99g/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdzqBI16ZYWMsZ3hqMNnhU3MQtBSQ/s128-c0x00000000-cc-rp-mo-ba4/photo.jpg",5,"2 months ago","stop to check on a technical issue with my vehicle. and decided to bring home fresh donuts. these donuts were noticeably denser than the other ""airy"" donuts that are passed off from the peddler. i was given great reviews from the home fronti will go out of my way to buy lamar's from now on.",1548678564,"stop check technic issu vehicl decid bring home fresh donut donut notic denser airi donut pass peddler given great review home fronti go way buy lamar"," donuts",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,33.640447,-112.111164,"AZ","phoenix","85023","2340 W Bell Rd","lamar's donuts and coffee"
"10",10,10,"lauren whitehurst","https://www.google.com/maps/contrib/105270333486915998374/reviews","en","ChIJVdwe4KFuK4cRDtCF7wXvMJ0","https://lh6.googleusercontent.com/-XsjBhwMX2z0/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfW_noCwF4KhSGcs5TOHAxDAMkPiw/s128-c0x00000000-cc-rp-mo-ba4/photo.jpg",4,"2 months ago","the employees here are extremely friendly and helpful. everyone includes the cooks smiled at us and genuinely greeted us. prices were good. the menu had a lot to offer. the hummus and pita bread were good. i had the chicken kabob. great flavor, alright texture. the rice was a waste of space. i should have had a gyro to get the whole greek experience or whatever, but i was craving chicken. i'll be back to check it out.",1547177489,"employe extrem friend help everyon includ cook smile us genuin greet us price good menu lot offer hummus pita bread good chicken kabob great flavor alright textur rice wast space gyro get whole greek experi whatev crave chicken back check"," greek",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6095993,-112.1192909,"AZ","phoenix","85053","2737 W Thunderbird Rd","greek pita"
