"","x"
"sushi.bars",1.98745717654066
"japanese",1.88075601585839
"breakfast...brunch",1.54289790771402
"mexican",1.21361352106053
"tacos",2.59514406037487
"tex.mex",2.2053705569409
"fast.food",1.15044276816337
"italian",1.52495716672609
"pizza",1.11201078446197
"chicken.wings",1.73366762333407
"sandwiches",1.25524175843733
"salad",1.69064446535191
"burgers",1.38144718858093
"comfort.food",2.49172694293958
"bars",1.37597529121351
"vegan",2.38601388006271
"chinese",1.41145586017592
"pubs",2.26255397940386
"sports.bars",2.06892780100162
"cafes",1.91446481471823
"thai",1.99522616216514
"ethnic.food",2.68598571430571
"asian.fusion",2.05290355758675
"specialty.food",2.12051651919412
"korean",2.50229980461412
"caterers",1.96534609931786
"hot.dogs",2.28035276945488
"vegetarian",2.28030001592641
"seafood",1.8036161664887
"french",2.4799871815167
"buffets",2.21114485016304
"beer",2.42720341044525
"wine...spirits",2.42720341044525
"dive.bars",2.82077649303921
"barbeque",1.97376840233219
"delis",1.8679983119427
"desserts",2.07647568929321
"bakeries",1.93568695042611
"coffee...tea",1.66726135415644
"mediterranean",2.09550643343727
"middle.eastern",2.47216734709759
"wraps",2.76660158544785
"hawaiian",2.58569476991535
"poke",2.7822608679352
"food.delivery.services",2.43930082788228
"diners",2.03975037560215
"soul.food",2.62681849056617
"juice.bars...smoothies",2.28287598803139
"vietnamese",2.29278817168564
"latin.american",2.40349211686635
"local.flavor",2.73784574253456
"wine.bars",2.43256232912219
"ice.cream...frozen.yogurt",2.17263425805185
"convenience.stores",2.88358197322747
"food.stands",2.64973641720848
"indian",2.21233886969831
"meat.shops",3.04214960025326
"cocktail.bars",2.38699688619833
"steakhouses",2.01127350488235
"noodles",2.47308341349553
"tapas.small.plates",2.79941650054801
"bagels",2.40788388401185
"beer.bar",2.74225751786483
"donuts",2.30730282501292
"food.trucks",2.26296599226292
"greek",2.2792971179116
"karaoke",2.85797712756864
"soup",2.09851182437285
"gluten.free",2.39582665262161
"chicken.shop",2.4318160665897
"street.vendors",2.79344448774561
"fish...chips",2.89490812508399
"breweries",2.78017467598479
"cheesesteaks",2.78892179820841
"southern",2.44313367449127
"gastropubs",2.66884717009932
"caribbean",2.65638025799187
"cajun.creole",2.81780186167101
"american",1.09438996624865
