"","Checkin_day","Checkin_night"
"1",160,2610
"2",135,393
"3",10,21
"4",24,80
"5",21,79
"6",38,28
"7",240,469
"8",98,162
"9",43,264
"10",22,1
"11",22,68
"12",15,60
"13",229,367
"14",1,1
"15",34,19
"16",9,34
"17",26,343
"18",74,735
"19",13,6
"20",540,351
"21",56,415
"22",18,6
"23",20,258
"24",6,32
"25",39,55
"26",1,3
"27",26,49
"28",147,98
"29",15,10
"30",1,4
"31",1,8
"32",7,23
"33",2,3
"34",69,928
"35",40,86
"36",12,51
"37",125,55
"38",67,1017
"39",21,121
"40",4,13
"41",46,46
"42",75,484
"43",23,57
"44",67,39
"45",20,13
"46",1,11
"47",130,1976
"48",221,2640
"49",9,19
"50",33,28
"51",230,1020
"52",7,52
"53",17,105
"54",22,9
"55",3,70
"56",19,52
"57",81,50
"58",38,268
"59",40,185
"60",23,29
"61",52,424
"62",34,244
"63",79,57
"64",149,352
"65",2,0
"66",139,271
"67",14,795
"68",19,1053
"69",2,17
"70",6,5
"71",148,1652
"72",25,629
"73",4,6
"74",22,64
"75",48,89
"76",27,18
"77",54,1262
"78",267,1787
"79",48,30
"80",14,19
"81",6,126
"82",30,94
"83",68,124
"84",1,1
"85",263,1674
"86",2,3
"87",185,249
"88",53,658
"89",75,100
"90",2,9
"91",18,63
"92",0,8
"93",5,27
"94",22,56
"95",49,670
"96",102,1027
"97",3,21
"98",12,65
"99",12,5
"100",10,86
"101",4201,2517
"102",133,1231
"103",75,1025
"104",11,106
"105",75,111
"106",508,736
"107",11,44
"108",11,59
"109",47,201
"110",11,5
"111",2,28
"112",43,168
"113",18,9
"114",26,319
"115",3,26
"116",7,3
"117",23,44
"118",5,4
"119",3,32
"120",81,58
"121",22,31
"122",0,9
"123",125,270
"124",631,3301
"125",1076,102
"126",146,1557
"127",1294,6233
"128",336,622
"129",21,29
"130",20,190
"131",5,50
"132",4,132
"133",49,691
"134",19,90
"135",46,6
"136",1,3
"137",28,23
"138",91,855
"139",0,15
"140",15,191
"141",80,490
"142",49,4
"143",34,31
"144",27,340
"145",32,59
"146",60,81
"147",6,15
"148",22,714
"149",6,48
"150",476,1234
"151",2,20
"152",181,9
"153",14,65
"154",38,281
"155",28,0
"156",60,567
"157",29,87
"158",62,129
"159",1,9
"160",6,74
"161",40,21
"162",4,0
"163",9,9
"164",80,5
"165",294,1760
"166",19,205
"167",5,17
"168",11,29
"169",33,239
"170",1,9
"171",1,18
"172",1,12
"173",117,186
"174",16,81
"175",225,270
"176",3,34
"177",38,689
"178",43,245
"179",5,10
"180",61,5
"181",160,1945
