"","Checkin_Monday","Checkin_Tuesday","Checkin_Wednesday","Checkin_Thursday","Checkin_Friday","Checkin_Saturday","Checkin_Sunday"
"1",310,282,237,263,316,513,849
"2",70,53,50,72,78,105,100
"3",2,4,0,3,7,7,8
"4",13,13,7,18,13,20,20
"5",15,10,12,7,14,23,19
"6",9,6,7,9,11,12,12
"7",72,68,87,111,128,150,93
"8",31,26,26,25,46,57,49
"9",30,31,50,34,42,64,56
"10",3,3,3,3,10,1,0
"11",14,10,8,10,16,12,20
"12",6,7,10,13,11,17,11
"13",61,65,69,73,84,132,112
"14",0,1,0,0,0,1,0
"15",2,5,3,5,7,12,19
"16",7,8,9,1,4,10,4
"17",21,47,52,29,27,106,87
"18",60,74,60,78,123,234,180
"19",2,1,4,2,5,3,2
"20",131,114,106,135,159,112,134
"21",51,51,49,45,72,86,117
"22",4,3,3,3,2,3,6
"23",45,25,23,26,33,56,70
"24",5,1,6,8,7,5,6
"25",7,15,10,12,12,17,21
"26",1,1,1,0,1,0,0
"27",11,11,11,16,7,11,8
"28",41,27,25,18,35,49,50
"29",0,2,8,3,4,6,2
"30",0,1,1,0,2,0,1
"31",1,2,1,1,2,2,0
"32",4,2,3,3,4,4,10
"33",0,1,0,2,0,0,2
"34",104,138,110,51,115,211,268
"35",9,11,13,13,15,31,34
"36",1,2,6,2,3,46,3
"37",16,6,16,17,17,49,59
"38",92,77,67,149,148,257,294
"39",20,15,21,23,13,29,21
"40",1,1,1,1,2,6,5
"41",11,16,22,13,10,13,7
"42",27,50,59,102,83,100,138
"43",8,5,9,9,17,19,13
"44",18,14,12,9,31,20,2
"45",2,2,3,5,0,13,8
"46",0,2,2,4,1,2,1
"47",221,248,250,285,274,403,425
"48",307,290,380,280,355,641,608
"49",2,3,1,5,7,2,8
"50",10,6,4,16,5,5,15
"51",111,111,124,97,177,334,296
"52",7,6,5,7,6,18,10
"53",7,9,19,16,20,35,16
"54",3,5,3,5,1,6,8
"55",5,5,6,13,15,19,10
"56",13,7,6,11,9,13,12
"57",10,9,7,10,22,42,31
"58",26,25,45,34,41,57,78
"59",21,13,19,29,31,49,63
"60",5,5,1,4,14,15,8
"61",68,54,53,64,62,83,92
"62",27,55,43,62,61,25,5
"63",15,27,20,21,22,24,7
"64",40,55,59,58,62,106,121
"65",0,0,0,1,1,0,0
"66",51,43,38,37,46,88,107
"67",99,81,80,71,100,187,191
"68",92,60,91,87,123,275,344
"69",1,4,1,2,2,4,5
"70",1,3,1,2,2,1,1
"71",260,234,237,249,259,277,284
"72",99,75,92,90,104,103,91
"73",0,1,1,0,2,3,3
"74",6,14,9,18,8,15,16
"75",7,14,13,16,16,40,31
"76",8,5,6,3,4,12,7
"77",8,9,197,209,205,330,358
"78",297,271,294,283,287,345,277
"79",11,8,7,8,10,14,20
"80",13,5,5,0,2,7,1
"81",9,3,19,20,25,29,27
"82",12,4,6,9,16,29,48
"83",18,20,15,22,23,40,54
"84",1,0,0,0,0,0,1
"85",211,149,180,202,200,500,495
"86",0,0,3,1,1,0,0
"87",25,46,49,78,97,128,11
"88",65,66,85,87,75,158,175
"89",15,19,28,18,25,41,29
"90",2,0,1,1,1,5,1
"91",7,5,11,14,13,12,19
"92",0,1,0,2,1,1,3
"93",3,1,3,7,6,6,6
"94",7,10,8,11,13,13,16
"95",75,117,101,107,125,118,76
"96",16,56,163,157,217,332,188
"97",2,3,3,2,4,6,4
"98",15,14,10,10,8,10,10
"99",0,1,2,1,4,7,2
"100",7,18,8,11,18,17,17
"101",853,869,956,956,1154,980,950
"102",218,268,210,214,190,123,141
"103",174,114,135,136,125,196,220
"104",12,11,13,12,25,30,14
"105",16,14,13,22,21,42,58
"106",143,110,106,98,145,318,324
"107",9,5,2,8,6,15,10
"108",16,8,6,8,5,7,20
"109",16,13,23,28,58,68,42
"110",1,4,4,1,2,1,3
"111",5,7,2,7,1,3,5
"112",24,18,19,19,22,54,55
"113",3,1,5,6,5,5,2
"114",35,43,43,50,46,56,72
"115",6,4,1,3,2,6,7
"116",1,3,1,2,2,1,0
"117",8,5,9,17,9,7,12
"118",1,2,2,0,2,1,1
"119",1,4,6,7,5,8,4
"120",24,25,13,31,28,8,10
"121",8,8,4,5,10,5,13
"122",0,1,2,1,0,3,2
"123",39,40,45,50,33,113,75
"124",392,378,332,411,473,948,998
"125",97,102,102,92,126,320,339
"126",205,187,200,233,243,338,297
"127",1021,664,677,667,775,1437,2286
"128",98,95,101,122,145,195,202
"129",9,6,5,6,4,13,7
"130",11,12,17,24,20,59,67
"131",4,10,12,4,8,9,8
"132",25,15,19,11,12,29,25
"133",95,110,121,125,95,107,87
"134",8,10,4,19,15,25,28
"135",10,5,6,5,3,10,13
"136",1,0,0,2,0,1,0
"137",5,3,7,6,10,8,12
"138",101,95,80,124,133,196,217
"139",0,1,0,4,2,1,7
"140",39,20,22,24,23,43,35
"141",73,62,102,79,113,74,67
"142",3,7,1,7,5,14,16
"143",9,6,5,8,8,12,17
"144",21,23,31,34,49,132,77
"145",9,6,13,6,21,16,20
"146",13,17,16,23,20,25,27
"147",2,5,3,6,5,0,0
"148",82,80,105,69,71,161,168
"149",3,2,8,16,7,10,8
"150",260,248,184,204,241,293,280
"151",5,3,4,3,2,1,4
"152",18,18,9,16,33,39,57
"153",4,6,7,4,11,20,27
"154",31,50,48,44,43,63,40
"155",6,7,8,4,3,0,0
"156",73,71,71,82,96,143,91
"157",13,15,16,13,18,28,13
"158",21,17,25,19,33,46,30
"159",1,0,0,3,2,1,3
"160",9,11,14,12,7,17,10
"161",4,5,15,9,11,11,6
"162",0,0,2,0,2,0,0
"163",2,3,0,2,4,4,3
