"","Checkin_2010","Checkin_2011","Checkin_2012","Checkin_2013","Checkin_2014","Checkin_2015","Checkin_2016","Checkin_2017","Checkin_2018"
"1",89,331,362,405,392,391,339,268,193
"2",14,48,135,59,76,81,55,41,19
"3",0,2,0,0,0,0,8,10,11
"4",0,0,0,0,6,32,33,19,14
"5",0,2,14,12,14,24,13,14,7
"6",1,8,9,10,9,11,7,6,5
"7",28,79,122,115,86,88,90,68,33
"8",1,13,16,31,43,58,40,37,21
"9",7,74,54,67,45,29,10,10,11
"10",0,6,15,0,1,0,0,1,0
"11",0,1,10,26,16,16,17,4,0
"12",7,17,16,11,7,6,3,5,3
"13",6,39,102,215,131,67,25,8,3
"14",0,0,0,0,0,0,1,1,0
"15",0,0,0,0,0,0,0,0,53
"16",1,2,7,10,9,7,5,2,0
"17",0,0,0,111,71,71,54,34,28
"18",37,127,137,163,130,84,47,52,32
"19",0,0,13,0,2,0,1,2,1
"20",0,0,0,0,139,172,271,175,134
"21",1,5,23,57,79,77,97,82,50
"22",0,0,0,0,0,0,0,18,6
"23",0,0,0,0,0,0,0,32,246
"24",1,2,4,3,6,4,12,4,2
"25",1,6,13,15,2,15,16,13,13
"26",0,0,0,2,0,1,0,1,0
"27",1,17,5,7,1,14,11,16,3
"28",5,14,19,51,31,43,44,22,16
"29",0,0,0,0,0,4,9,5,7
"30",0,2,0,1,1,0,0,0,1
"31",0,2,1,0,2,2,1,1,0
"32",0,0,0,0,7,7,9,3,4
"33",0,0,0,0,0,0,0,3,2
"34",32,104,131,147,196,137,108,83,59
"35",0,0,0,0,0,0,0,0,126
"36",2,3,10,9,5,13,9,8,4
"37",19,21,23,19,33,15,21,15,14
"38",0,0,120,321,232,178,100,84,49
"39",0,25,33,31,18,14,8,8,5
"40",0,0,0,2,0,6,0,5,4
"41",0,0,0,29,22,9,17,12,3
"42",18,83,96,87,86,43,59,55,32
"43",0,2,7,8,8,5,12,20,18
"44",2,13,21,15,11,8,11,17,8
"45",0,3,0,4,3,5,7,5,6
"46",0,0,0,0,0,0,0,10,2
"47",47,134,292,248,249,395,358,260,123
"48",0,0,0,496,628,634,465,366,272
"49",1,1,6,7,2,3,4,4,0
"50",0,0,0,0,0,0,27,18,16
"51",0,0,135,194,226,243,212,151,89
"52",1,6,5,11,16,7,3,5,5
"53",0,0,0,0,0,28,39,28,27
"54",0,0,0,0,9,9,5,6,2
"55",0,0,0,0,0,0,34,25,14
"56",0,2,13,14,17,11,5,7,2
"57",0,0,0,0,0,0,0,60,71
"58",9,23,32,48,61,49,37,26,21
"59",1,14,29,30,37,28,36,30,20
"60",0,4,9,2,6,8,7,5,11
"61",0,0,0,0,110,165,112,49,40
"62",0,0,9,122,64,43,14,14,12
"63",2,13,28,18,12,12,11,17,23
"64",16,93,56,60,79,74,57,28,38
"65",0,0,0,0,0,0,1,1,0
"66",27,107,79,46,42,29,28,36,16
"67",12,41,101,120,111,141,167,71,45
"68",67,120,176,151,135,144,136,62,81
"69",0,0,0,0,0,0,3,9,7
"70",0,0,0,0,0,0,3,7,1
"71",9,376,420,383,253,189,90,49,31
"72",0,0,0,0,0,0,0,242,412
"73",0,0,0,0,0,0,0,8,2
"74",0,0,0,0,0,0,0,0,86
"75",0,0,0,33,33,28,17,17,9
"76",0,6,12,9,7,4,3,1,3
"77",33,210,267,224,230,113,100,85,54
"78",50,214,265,330,311,273,246,229,136
"79",1,13,11,11,10,7,10,11,4
"80",1,3,6,9,4,2,1,2,5
"81",0,0,0,0,0,18,50,41,23
"82",3,6,8,11,14,11,30,26,15
"83",0,0,0,0,0,36,82,54,20
"84",0,0,0,0,0,0,0,1,1
"85",40,239,334,411,284,283,182,89,75
"86",0,0,0,0,0,0,0,1,4
"87",4,29,60,108,77,55,38,37,26
"88",0,0,0,0,0,250,242,133,86
"89",6,17,35,41,21,15,11,19,10
"90",0,0,0,0,1,4,4,2,0
"91",0,0,0,0,6,31,21,10,13
"92",0,0,1,3,3,0,0,1,0
"93",0,0,0,0,12,7,3,7,3
"94",8,3,12,14,19,12,3,7,0
"95",0,0,0,0,0,348,145,152,74
"96",37,169,306,159,133,131,91,63,40
"97",0,0,0,0,0,0,1,19,4
"98",1,4,6,10,10,24,12,6,4
"99",1,2,2,0,2,5,5,0,0
"100",0,0,0,0,0,0,50,30,16
"101",194,535,1115,1128,961,801,723,731,530
"102",44,195,279,245,249,214,87,31,20
"103",0,0,0,0,19,344,302,254,181
"104",13,17,33,21,8,17,7,1,0
"105",6,23,23,26,22,26,24,18,18
"106",0,0,0,0,0,504,334,232,174
"107",0,0,8,27,0,0,0,16,4
"108",1,5,6,6,9,18,10,8,7
"109",0,0,0,0,11,17,130,58,32
"110",0,1,2,4,5,1,0,3,0
"111",4,2,2,6,7,9,0,0,0
"112",12,24,29,51,24,25,9,22,15
"113",2,3,0,4,1,6,7,1,3
"114",0,0,0,0,0,58,162,85,40
"115",0,0,0,0,0,0,7,13,9
"116",0,0,0,0,0,0,0,0,10
"117",1,20,6,5,6,5,9,15,0
"118",0,0,0,1,2,0,3,2,1
"119",1,1,4,7,9,4,3,4,2
"120",1,0,10,7,20,34,43,23,1
"121",2,10,9,7,5,3,7,4,6
"122",0,1,0,0,0,1,4,2,1
"123",14,45,70,58,61,60,37,31,19
"124",77,492,793,625,587,508,348,354,148
"125",0,0,0,123,240,311,229,175,100
