business_id,name,address,city,state,postal_code,stars,review_count,categories
gnKjwL_1w79qoiV3IC_xQQ,Musashi Japanese Restaurant,"10110 Johnston Rd, Ste 15",charlotte,NC,28210.0,4.0,170,"Sushi Bars, Restaurants, Japanese"
1Dfx3zM-rW4n-31KeC8sJg,Taco Bell,2450 E Indian School Rd,phoenix,AZ,85016.0,3.0,18,"Restaurants, Breakfast & Brunch, Mexican, Tacos, Tex-Mex, Fast Food"
fweCYi8FmbJXHCqLnwuk8w,Marco's Pizza,5981 Andrews Rd,mentor on the lake,OH,44060.0,4.0,16,"Italian, Restaurants, Pizza, Chicken Wings"
1RHY4K3BD22FK7Cfftn8Mg,Marathon Diner,"Center Core - Food Court, Fl 3, Pittsburgh International Airport",pittsburgh,PA,15231.0,4.0,35,"Sandwiches, Salad, Restaurants, Burgers, Comfort Food"
tstimHoMcYbkSC4eBA1wEg,Maria's Mexican Restaurant & Bakery,6055 E Lake Mead Blvd,las vegas,NV,89156.0,4.5,184,"Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife"
dQj5DLZjeDK3KFysh1SYOQ,Apteka,4606 Penn Ave,pittsburgh,PA,15224.0,4.5,242,"Nightlife, Bars, Polish, Modern European, Restaurants, Vegan"
v-scZMU6jhnmV955RSzGJw,No. 1 Sushi Sushi,436 Market St,pittsburgh,PA,15222.0,4.5,106,"Japanese, Sushi Bars, Restaurants"
KFbUQ-RR2UOV62Ep7WnXHw,Westwood Bar & Grill,825 Commonwealth Ave,west mifflin,PA,15122.0,3.0,5,"American (Traditional), Restaurants"
44YFU284Z3KDEy25QyVoUw,Nee House Chinese Restaurant,"13843 N Tatum Blvd, Ste 15",phoenix,AZ,85032.0,3.5,269,"Chinese, Restaurants"
X8mtoSxY8whtmbDlj0D3Aw,Imperial Asian Buffet,4343 N Rancho Dr,las vegas,NV,89030.0,2.0,4,"Restaurants, Chinese"
7aLkFEBnL1LJmQdcuaovuQ,Ohio Beer Garden,402 Great Northern Blvd,north olmsted,OH,44070.0,4.0,8,"Restaurants, Pubs, Bars, Nightlife, American (Traditional), Beer Gardens"
0lFAD4CuWcQVl9u3-lRaCQ,Cruisers Bar and Grill,6625 Dean Memorial Pkwy,hudson,OH,44236.0,3.5,12,"Pubs, Restaurants, Bars, Event Planning & Services, American (Traditional), Nightlife, Lounges, Venues & Event Spaces, Sports Bars"
ysfeDcLAYk_MVzfBmyiSTg,Vals Getaway DES Cafeteria,1789 W Jefferson,phoenix,AZ,85007.0,3.0,14,"Restaurants, Food, Cafes"
L0aSDVHNXCl6sY4cfZQ-5Q,Mai Thai II,"7712 Sossamon Ln NW, Unit 140",concord,NC,28027.0,4.0,108,"Restaurants, Thai"
jScBTQtdAt-8RshaiBEHgw,Served,"1770 W Horizon Ridge, Ste 100",henderson,NV,89012.0,4.5,664,"Ethnic Food, American (New), Burgers, Food, Restaurants, Asian Fusion, Specialty Food, Mexican, Sandwiches, Breakfast & Brunch, Korean"
U3kygJOTlTQFlfaZS7sQjA,JJ's Red Hots - Dilworth,1514 East Blvd,charlotte,NC,28203.0,4.0,380,"Caterers, Hot Dogs, Restaurants, Vegetarian, American (Traditional), Event Planning & Services"
nsNONDHbV7Vudqh21uicqw,Salt Cellar,550 N Hayden Rd,scottsdale,AZ,85257.0,3.5,526,"Seafood, Restaurants"
6fPQJq4f_yiq1NHn0fd11Q,La Creperie,3655 Las Vegas Blvd S,las vegas,NV,89109.0,3.5,535,"French, Restaurants, Creperies"
k-dDZvTeLysoJvjHI-qr9g,Feast Buffet,2411 W Sahara Ave,las vegas,NV,89102.0,3.0,287,"Buffets, Restaurants"
5WMIvoMx3l1vn1uJ3HZB6Q,Subway,411 7th Ave,pittsburgh,PA,15219.0,3.0,3,"Fast Food, Sandwiches, Restaurants"
Rs8Wi4OEjeOX7LVlzsXDOA,Sushi Mocorito,"3415 West Glendale Ave, Bldg 25A",phoenix,AZ,85051.0,3.0,9,"Restaurants, Mexican, Sushi Bars"
