business_id,name,address,state,postal_code,stars,categories,city
gnKjwL_1w79qoiV3IC_xQQ,Musashi Japanese Restaurant,"10110 Johnston Rd, Ste 15",NC,28210.0,4.0,"Sushi Bars, Restaurants, Japanese",charlotte
1Dfx3zM-rW4n-31KeC8sJg,Taco Bell,2450 E Indian School Rd,AZ,85016.0,3.0,"Restaurants, Breakfast & Brunch, Mexican, Tacos, Tex-Mex, Fast Food",phoenix
fweCYi8FmbJXHCqLnwuk8w,Marco's Pizza,5981 Andrews Rd,OH,44060.0,4.0,"Italian, Restaurants, Pizza, Chicken Wings",mentor on the lake
1RHY4K3BD22FK7Cfftn8Mg,Marathon Diner,"Center Core - Food Court, Fl 3, Pittsburgh International Airport",PA,15231.0,4.0,"Sandwiches, Salad, Restaurants, Burgers, Comfort Food",pittsburgh
tstimHoMcYbkSC4eBA1wEg,Maria's Mexican Restaurant & Bakery,6055 E Lake Mead Blvd,NV,89156.0,4.5,"Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife",las vegas
dQj5DLZjeDK3KFysh1SYOQ,Apteka,4606 Penn Ave,PA,15224.0,4.5,"Nightlife, Bars, Polish, Modern European, Restaurants, Vegan",pittsburgh
v-scZMU6jhnmV955RSzGJw,No. 1 Sushi Sushi,436 Market St,PA,15222.0,4.5,"Japanese, Sushi Bars, Restaurants",pittsburgh
KFbUQ-RR2UOV62Ep7WnXHw,Westwood Bar & Grill,825 Commonwealth Ave,PA,15122.0,3.0,"American (Traditional), Restaurants",west mifflin
44YFU284Z3KDEy25QyVoUw,Nee House Chinese Restaurant,"13843 N Tatum Blvd, Ste 15",AZ,85032.0,3.5,"Chinese, Restaurants",phoenix
X8mtoSxY8whtmbDlj0D3Aw,Imperial Asian Buffet,4343 N Rancho Dr,NV,89030.0,2.0,"Restaurants, Chinese",las vegas
7aLkFEBnL1LJmQdcuaovuQ,Ohio Beer Garden,402 Great Northern Blvd,OH,44070.0,4.0,"Restaurants, Pubs, Bars, Nightlife, American (Traditional), Beer Gardens",north olmsted
0lFAD4CuWcQVl9u3-lRaCQ,Cruisers Bar and Grill,6625 Dean Memorial Pkwy,OH,44236.0,3.5,"Pubs, Restaurants, Bars, Event Planning & Services, American (Traditional), Nightlife, Lounges, Venues & Event Spaces, Sports Bars",hudson
ysfeDcLAYk_MVzfBmyiSTg,Vals Getaway DES Cafeteria,1789 W Jefferson,AZ,85007.0,3.0,"Restaurants, Food, Cafes",phoenix
L0aSDVHNXCl6sY4cfZQ-5Q,Mai Thai II,"7712 Sossamon Ln NW, Unit 140",NC,28027.0,4.0,"Restaurants, Thai",concord
jScBTQtdAt-8RshaiBEHgw,Served,"1770 W Horizon Ridge, Ste 100",NV,89012.0,4.5,"Ethnic Food, American (New), Burgers, Food, Restaurants, Asian Fusion, Specialty Food, Mexican, Sandwiches, Breakfast & Brunch, Korean",henderson
U3kygJOTlTQFlfaZS7sQjA,JJ's Red Hots - Dilworth,1514 East Blvd,NC,28203.0,4.0,"Caterers, Hot Dogs, Restaurants, Vegetarian, American (Traditional), Event Planning & Services",charlotte
nsNONDHbV7Vudqh21uicqw,Salt Cellar,550 N Hayden Rd,AZ,85257.0,3.5,"Seafood, Restaurants",scottsdale
6fPQJq4f_yiq1NHn0fd11Q,La Creperie,3655 Las Vegas Blvd S,NV,89109.0,3.5,"French, Restaurants, Creperies",las vegas
k-dDZvTeLysoJvjHI-qr9g,Feast Buffet,2411 W Sahara Ave,NV,89102.0,3.0,"Buffets, Restaurants",las vegas
5WMIvoMx3l1vn1uJ3HZB6Q,Subway,411 7th Ave,PA,15219.0,3.0,"Fast Food, Sandwiches, Restaurants",pittsburgh
Rs8Wi4OEjeOX7LVlzsXDOA,Sushi Mocorito,"3415 West Glendale Ave, Bldg 25A",AZ,85051.0,3.0,"Restaurants, Mexican, Sushi Bars",phoenix
MhnihE0alud0ereVInSt8Q,Yummy Yummy Chinese Restaurant,"2765 N Scottsdale Rd, Ste 105",AZ,85257.0,3.0,"Chinese, Restaurants",scottsdale
4n81G-pmC3rfhmaPsbwYKg,"Vince Neil's Tatuado | Eat, Drink, Party",360 E Tropicana Ave,NV,89169.0,4.5,"Bars, Sports Bars, Nightlife, Beer, Wine & Spirits, Restaurants, Food, American (Traditional)",las vegas
y-1sMhUMubrHWdIW4FaE8w,Wendy's,2421 S Stoughton Rd,WI,53716.0,2.5,"Fast Food, Sandwiches, Restaurants, Burgers",madison
iwGhazq9eP51PSerTrMrwg,Mr G's Pub & Grub,"3342 E Sandhill Rd, Ste 11",NV,89121.0,4.0,"Dive Bars, Food, Bars, Pubs, Restaurants, Nightlife, American (Traditional), Beer, Wine & Spirits",las vegas
CPgz4srKkE5u9aoBAOaQsA,Davidson Pizza Company,300 Mock Rd,NC,28036.0,3.5,"Chicken Wings, Pizza, Salad, Restaurants",davidson
OwXMxqxIy4YoprAjnoUoiA,B & M Bar-B-Que Shaw,12700 Shaw Ave,OH,44108.0,3.5,"Barbeque, Restaurants",cleveland
0G83H_zoum-Q4bWU2olTqQ,Bonjour Bakery & Deli,"4012 S Rainbow Blvd, Ste J",NV,89103.0,4.5,"Restaurants, Food, Delis, Desserts, Bakeries, Coffee & Tea",las vegas
U3-kxz7NWq4ix4bPmKKQ0w,Aladdin's Eatery,8870 Mentor Ave,OH,44060.0,4.5,"Ethnic Food, Specialty Food, Food, Restaurants, Vegetarian, Mediterranean, Middle Eastern",mentor
dUffgo9Lh_Vk9TLuFR5ywg,Oregano's Pizza Bistro,1008 E Camelback Rd,AZ,85014.0,3.5,"Restaurants, Pizza, Sandwiches, Italian",phoenix
c7JoAt6a3Ufkpn3TrGU23A,Santanas Mexican Food,1930 W Buckeye Rd,AZ,85009.0,3.0,"Mexican, Restaurants",phoenix
q4P3WHwC0lFafwvTlkKMIw,Ron's Pizza Palace,1535 Lowrie St,PA,15212.0,3.0,"Restaurants, Pizza",pittsburgh
hZj2HCiLae5-AxIp0im6lQ,Route 28 Bar & Grille,180 Gamma Dr,PA,15238.0,2.5,"Bars, Nightlife, Restaurants, American (Traditional)",pittsburgh
vg4ynLZ0yJ89pT4s_CEMzQ,Five Guys,2340 E Baseline Rd,AZ,85042.0,3.5,"Fast Food, Restaurants, Burgers, Food",phoenix
e-9f6vasnWh3z0uOq287Aw,Pizza Hut,"2835 N 16th St, Ste 103",AZ,85006.0,2.0,"Restaurants, Italian, Pizza, Fast Food, Chicken Wings",phoenix
ItmLljzhwhuyyvekNs4Ymg,Jersey Mike's Subs,1601 Deming Way,WI,53562.0,4.0,"Fast Food, Restaurants, Delis, Sandwiches, Wraps",middleton
jX9DocoiY4Bo9EUkaTSqvg,China AAA,10624 S Eastern Ave,NV,89052.0,4.5,"Restaurants, Hawaiian, Chinese, Japanese, Poke, Asian Fusion, Mexican, Food",henderson
ecJri9ozyke4dOCWulZiRQ,Nishikawa Ramen,1909 E Ray Rd,AZ,85225.0,4.0,"Asian Fusion, Japanese, Restaurants, Ramen, Tapas Bars",chandler
iA9xu-6oOFynZQxO5qrauQ,DOC Holliday's Saloon,2551 Anthem Village Dr,NV,89052.0,3.0,"Nightlife, Restaurants, Bars",henderson
mofOjB6flg-eAWOFbOkHfQ,ChinaTown Buffet,713 W Marketview Dr,IL,61822.0,2.5,"Sushi Bars, Buffets, Restaurants, Chinese",champaign
El6Bum4I-0VWJRgzbtscJQ,Jimmy John's,12061 Perry Hwy,PA,15090.0,3.0,"Fast Food, Sandwiches, Restaurants, Food, Food Delivery Services, Delis",wexford
F6c3D1o9Z4Tl6cDorb3WgA,Hello Bistro,701 Providence Blvd,PA,15237.0,3.5,"Burgers, Restaurants, Cafes, Salad, Sandwiches",pittsburgh
JO5_Frcbp9J732VNn-I3Ew,Steak ’n Shake,3316 Center Rd,OH,44212.0,2.0,"American (New), Burgers, Diners, Restaurants, Fast Food, Breakfast & Brunch, American (Traditional)",brunswick
Ye6Bdtw2lq5Y6FeX-p377Q,Veltree,"7945 N Tryon St, Unit 110",NC,28262.0,4.5,"Vegan, Soul Food, Restaurants, Food, Juice Bars & Smoothies",charlotte
_WyTVGIhZIqesE4DLrcTvA,Ron's Restaurant,3621 Old Charlotte Hwy,NC,28110.0,4.0,"Burgers, Restaurants, American (Traditional)",monroe
UdL8Z06DaNj6qhen0fEH9A,Mariscos El Dorado Sin,5630 S Central Ave,AZ,85040.0,2.0,"Mexican, Restaurants, Seafood",phoenix
6XImdD5qH_LFZhHeLjLaGQ,Arbys Restaurant Higley Rd,1927 N Higley Rd,AZ,85205.0,3.0,"Sandwiches, Fast Food, Restaurants",mesa
m4DwPVxmFDQE_FnGIOa3cQ,Sunny China Buffet,1703 Philo Rd,IL,61802.0,3.5,"Buffets, Chinese, Restaurants",urbana
UPh90LM8UMnVFQP6NGktrA,Cakes On the Move,1211 Santa Helena Ave,NV,89002.0,5.0,"Restaurants, Bakeries, Food",henderson
hXzoNgpkC86K_Jfg_zMHvA,PHO KC,"18555 N 59th Ave, Ste 130",AZ,85308.0,4.5,"Vietnamese, Restaurants",glendale
dtpFxDbBTBl90NyttDqoMg,2 Girls' Cafe & Bakery,3707 Darrow Rd,OH,44224.0,4.0,"Food, Restaurants, Bakeries, Cafes",stow
GiTv0gFXtYFQAzCXnPvepQ,Chili's,5521 Westpark Dr,NC,28217.0,2.5,"Restaurants, American (Traditional), American (New), Tex-Mex, Bars, Nightlife",charlotte
tylsscXmLq03-DzGI36bIA,Squaw Peak Cafe,2333 E Thomas Rd,AZ,85016.0,3.5,"Restaurants, Sandwiches, Salad, Pizza",phoenix
HqerocZHKSRFD8NTrIkbaw,Taxco Mexican Grill,7106 Brighton Park Dr,NC,28227.0,3.0,"Restaurants, Mexican",mint hill
3-aEgS7X2jrbxA7sA1nARw,La Flor De Calabaza,"705 N 1st St, Ste 110",AZ,85004.0,3.0,"Breakfast & Brunch, Lounges, Nightlife, Latin American, Mexican, Bars, Restaurants",phoenix
k2b3niokS_tosjah_rzCPw,Metro Pizza,6720 Sky Pointe Dr,NV,89131.0,3.5,"Restaurants, Pizza",las vegas
lK-wuiq8b1TuU7bfbQZgsg,Hingetown,,OH,44113.0,3.0,"Flowers & Gifts, Art Galleries, Coffee & Tea, Arts & Entertainment, Food, Cafes, Museums, Restaurants, Local Flavor, Shopping Centers, Shopping, Florists",cleveland
QcUKFdAWxFq42-zE96cS-A,Pita Pit,"3816 Sardis Church Rd, Ste 101",NC,28079.0,4.0,"Mediterranean, Restaurants, Breakfast & Brunch, Fast Food, Middle Eastern, Sandwiches",indian trail
QS3QxI7u5PRdtbGgI0-UsA,Sakana Sushi & Grill,"6989 N Hayden Rd, Ste A12",AZ,85250.0,4.0,"Asian Fusion, Restaurants, Seafood, Sushi Bars, Japanese",scottsdale
ZBE-H_aUlicix_9vUGQPIQ,Hickory Tavern,9010 Harris Corners Pkwy,NC,28269.0,3.0,"Bars, Restaurants, Sports Bars, Chicken Wings, American (Traditional), Nightlife",charlotte
AMN3Sgns9tB2x-b3eWk0qQ,Noodles Ranch,"2765 N Scottsdale Rd, Ste 107",AZ,85257.0,4.0,"Vietnamese, Restaurants",scottsdale
yGMCl0vYigshkXiZFIDTNw,Mimi's Cafe,7450 W Bell Rd,AZ,85308.0,3.0,"Nightlife, Restaurants, American (Traditional), Wine Bars, Bars, Breakfast & Brunch, French",glendale
yuhnMOLGmXHhQxyp1V_rBw,Genghis Grill,9727 E Independence Blvd,NC,28105.0,3.5,"Do-It-Yourself Food, Asian Fusion, Chinese, Mongolian, Food, Restaurants",matthews
rwscnQMpddjkVNaJQhNuHw,Birrieria Obregon,2500 N 35th Ave,AZ,85009.0,4.0,"Mexican, Restaurants",phoenix
p8u03IURLPg_5jYSY3OmMQ,Farmer Boy,610 E Cuyahoga Falls Ave,OH,44310.0,3.0,"American (New), Restaurants",akron
dusNIzdCaH6EoLl2hRy6cQ,Chipotle Mexican Grill,3475 Las Vegas Blvd S,NV,89109.0,3.5,"Fast Food, Mexican, Restaurants",las vegas
uNtO37bzsKCHaRUpLm4Qzw,Subway,15508 W Bell Rd,AZ,85374.0,3.0,"Sandwiches, Fast Food, Restaurants",surprise
iW0_acsRQtjlpE_8O6l1_Q,The Roman Candle Pizzeria,2685 Research Park Dr,WI,53711.0,3.0,"Restaurants, Pizza",fitchburg
